('school', 0.01479652188349539)
('children', 0.013281590470458703)
('student', 0.01272127337248623)
('loans', 0.010438500010376153)
('child', 0.01039699504015597)
('parents', 0.01014796521883487)
('students', 0.00898582605266974)
('schools', 0.00794820179716516)
('may', 0.006412517899018382)
('drugs', 0.006121983107477099)
('kids', 0.006080478137256916)
('religious', 0.0057484383754954505)
('sleep', 0.0054371510988440765)
('use', 0.00522962624774316)
('education', 0.005022101396642244)
('punishment', 0.00483532903065142)
('loan', 0.004358021873119313)
('drug', 0.003984477141137664)
('corporal', 0.0037977047751468376)
('need', 0.0037977047751468376)
('also', 0.0036939423495963774)
('federal', 0.0036109324091560093)
('discipline', 0.003569427438935825)
('help', 0.003507169983605549)
('time', 0.003403407558055089)
('private', 0.003341150102724813)
('one', 0.0032373876771743526)
('get', 0.0031958827069541685)
('many', 0.0031128727665138004)
('alcohol', 0.0030921202814037083)
('behavior', 0.0027600805196422358)
('problems', 0.0027600805196422358)
('make', 0.0025318031834312233)
('parent', 0.002428040757880763)
('people', 0.002428040757880763)
('good', 0.002428040757880763)
('family', 0.002345030817440395)
('financial', 0.002324278332330303)
('physical', 0.0021167534812293826)
('public', 0.0020960009961192906)
('well', 0.0020544960258991065)
('interest', 0.0020337435407890144)
('must', 0.0020129910556789224)
('problem', 0.0019507336003486465)
('used', 0.0019507336003486465)
('often', 0.0019299811152385545)
('even', 0.0018677236599082784)
('adhd', 0.0018677236599082784)
('treatment', 0.0018469711747981863)
('shall', 0.0018262186896880943)
('obesity', 0.0018054662045780023)
('credit', 0.0018054662045780023)
('important', 0.0018054662045780023)
('teachers', 0.0017847137194679102)
('likely', 0.0017639612343578182)
('state', 0.001722456264137634)
('using', 0.001701703779027542)
('religion', 0.00168095129391745)
('way', 0.00168095129391745)
('night', 0.001660198808807358)
('age', 0.001660198808807358)
('young', 0.001618693838587174)
('percent', 0.0015979413534770819)
('policies', 0.0015771888683669898)
('day', 0.0015564363832568978)
('positive', 0.0015564363832568978)
('weight', 0.0015149314130367137)
('teens', 0.0015149314130367137)
('think', 0.0014941789279266217)
('aid', 0.0014734264428165297)
('program', 0.0014734264428165297)
('feel', 0.0014734264428165297)
('abuse', 0.0014526739577064376)
('support', 0.0014526739577064376)
('teacher', 0.0014526739577064376)
('research', 0.0014319214725963456)
('jewish', 0.0014111689874862535)
('life', 0.0014111689874862535)
('would', 0.0013904165023761615)
('first', 0.0013904165023761615)
('part', 0.0013904165023761615)
('faith', 0.0013696640172660695)
('repayment', 0.0013696640172660695)
('government', 0.0013489115321559774)
('overweight', 0.0013489115321559774)
('high', 0.0013489115321559774)
('like', 0.0013489115321559774)
('know', 0.0013489115321559774)
('healthy', 0.0013489115321559774)
('take', 0.0013074065619357934)
('principal', 0.0012866540768257013)
('depression', 0.0012659015917156093)
('rules', 0.0012659015917156093)
('based', 0.0012659015917156093)
('effective', 0.0012659015917156093)
('college', 0.0012451491066055172)
('without', 0.0012451491066055172)
('food', 0.0012451491066055172)
('programs', 0.0012243966214954252)
('less', 0.0012036441363853332)
('see', 0.0012036441363853332)
('teaching', 0.0012036441363853332)
('talk', 0.0012036441363853332)
('become', 0.0012036441363853332)
('community', 0.001162139166165149)
('year', 0.001162139166165149)
('appropriate', 0.001162139166165149)
('including', 0.001162139166165149)
('years', 0.001162139166165149)
('provide', 0.001141386681055057)
('policy', 0.001141386681055057)
('different', 0.001141386681055057)
('things', 0.001141386681055057)
('study', 0.001141386681055057)
('much', 0.001120634195944965)
('work', 0.001120634195944965)
('needs', 0.001120634195944965)
('studies', 0.001120634195944965)
('want', 0.001099881710834873)
('non', 0.001099881710834873)
('suspension', 0.001079129225724781)
('say', 0.001079129225724781)
('home', 0.001079129225724781)
('health', 0.001079129225724781)
('history', 0.001058376740614689)
('classroom', 0.001058376740614689)
('social', 0.001058376740614689)
('activity', 0.001058376740614689)
('found', 0.001058376740614689)
('christian', 0.0010376242555045969)
('among', 0.0010376242555045969)
('information', 0.0010376242555045969)
('new', 0.0010376242555045969)
('give', 0.0010376242555045969)
('others', 0.0010376242555045969)
('might', 0.0010376242555045969)
('find', 0.0010168717703945048)
('person', 0.0010168717703945048)
('disciplinary', 0.0010168717703945048)
('free', 0.0010168717703945048)
('right', 0.0010168717703945048)
('number', 0.0010168717703945048)
('families', 0.0010168717703945048)
('rate', 0.0009961192852844128)
('activities', 0.0009961192852844128)
('long', 0.0009961192852844128)
('learning', 0.0009961192852844128)
('system', 0.0009961192852844128)
('control', 0.0009961192852844128)
('whether', 0.0009961192852844128)
('offer', 0.0009753668001743208)
('available', 0.0009753668001743208)
('best', 0.0009753668001743208)
('eating', 0.0009753668001743208)
('however', 0.0009753668001743208)
('attention', 0.0009546143150642288)
('better', 0.0009546143150642288)
('pupils', 0.0009338618299541369)
('consequences', 0.0009338618299541369)
('every', 0.0009338618299541369)
('could', 0.0009338618299541369)
('approach', 0.0009338618299541369)
('risk', 0.0009338618299541369)
('serious', 0.000913109344844045)
('period', 0.000913109344844045)
('development', 0.000913109344844045)
('try', 0.000913109344844045)
('made', 0.000913109344844045)
