('school', 0.015724942905006235)
('children', 0.009928698802925595)
('schools', 0.00912666698899687)
('parents', 0.008162522361614468)
('student', 0.007991877294821122)
('child', 0.006589743662669132)
('students', 0.005847437622118078)
('education', 0.005457798052939939)
('loans', 0.004877604825842563)
('may', 0.004544846945595539)
('one', 0.0039589655496050525)
('religious', 0.0038139172428307225)
('sleep', 0.0038025409050445012)
('also', 0.0036745571049495115)
('kids', 0.003609143162678739)
('time', 0.0032934497891110976)
('punishment', 0.002986288668883122)
('use', 0.0029038102199330177)
('would', 0.002733165153139698)
('many', 0.002687659801994813)
('teachers', 0.0024942620596290505)
('loan', 0.0023662782595340608)
('discipline', 0.0023634341750875055)
('help', 0.0023549019217478395)
('parent', 0.002315084739496065)
('need', 0.002315084739496065)
('policy', 0.002306552486156399)
('people', 0.002306552486156399)
('get', 0.002289487979477067)
('problems', 0.0022667353039046243)
('jewish', 0.0022354503749925157)
('day', 0.00218425685495452)
('corporal', 0.0021302192504699686)
('year', 0.00209893432155786)
('public', 0.0020875579837716387)
('make', 0.0020420526326267534)
('drugs', 0.0019538860147835383)
('said', 0.0019368215081042063)
('like', 0.0018941602414058764)
('well', 0.0018770957347265444)
('state', 0.0018372785524747698)
('community', 0.0018315903835816592)
('know', 0.001803149539116106)
('study', 0.001786085032436774)
('years', 0.0017832409479902186)
('behavior', 0.0017803968635436633)
('health', 0.001743423765738444)
('drug', 0.0017292033435056674)
('family', 0.0017036065834866694)
('good', 0.0016922302457004481)
('new', 0.0016893861612538928)
('even', 0.0016524130634486735)
('program', 0.001629660387876231)
('high', 0.0016097517967503436)
('support', 0.001595531374517567)
('way', 0.0015841550367313457)
('however', 0.0015756227833916797)
('percent', 0.0015244292633536838)
('first', 0.0015215851789071285)
('policies', 0.0014988325033346859)
('research', 0.0014789239122087986)
('teacher', 0.001473235743315688)
('obesity', 0.001464703489976022)
('information', 0.001464703489976022)
('private', 0.0014504830677432453)
('work', 0.0014419508144035793)
('see', 0.0014248863077242473)
('adhd', 0.0014163540543845814)
('could', 0.00140497771659836)
('much', 0.001396445463258694)
('physical', 0.0013907572943655834)
('federal', 0.001387913209919028)
('take', 0.0013736927876862514)
('alcohol', 0.0013651605343465855)
('problem', 0.0013367196898810322)
('often', 0.0013310315209879215)
('two', 0.0013281874365413662)
('treatment', 0.0013281874365413662)
('think', 0.001291214338736147)
('different', 0.001291214338736147)
('must', 0.0012855261698430363)
('important', 0.0012713057476102596)
('programs', 0.0012684616631637043)
('want', 0.0012684616631637043)
('used', 0.001265617578717149)
('found', 0.0012599294098240383)
('say', 0.0012428649031447064)
('life', 0.0012371767342515957)
('college', 0.001222956312018819)
('number', 0.001205891805339487)
('home', 0.0011888272986601551)
('right', 0.0011859832142135998)
('age', 0.0011632305386411572)
('group', 0.0011575423697480465)
('national', 0.0011518542008549359)
('re', 0.0011490101164083806)
('part', 0.0011490101164083806)
('educational', 0.0011404778630687146)
('positive', 0.001134789694175604)
('young', 0.0011319456097290486)
('every', 0.0011234133563893826)
('needs', 0.0011148811030497166)
('night', 0.0011035047652634953)
('go', 0.0010864402585841633)
('based', 0.0010864402585841633)
('government', 0.001083596174137608)
('issues', 0.001083596174137608)
('religion', 0.001075063920797942)
('without', 0.0010693757519048314)
('provide', 0.0010636875830117207)
('class', 0.0010466230763323888)
('best', 0.0010466230763323888)
('staff', 0.0010437789918858334)
('still', 0.0010380908229927228)
('going', 0.0010380908229927228)
('system', 0.0010324026540996121)
('shall', 0.0010267144852065015)
('report', 0.0010267144852065015)
('might', 0.0010181822318668355)
('things', 0.0010124940629737248)
('us', 0.0010096499785271695)
('pupils', 0.0010068058940806142)
('faith', 0.0010068058940806142)
('including', 0.0010011177251875035)
('food', 0.0010011177251875035)
('board', 0.0009954295562943929)
('social', 0.000978365049615061)
('find', 0.000978365049615061)
('act', 0.0009755209651685055)
('less', 0.00097267688072195)
('approach', 0.00097267688072195)
('change', 0.0009698327962753946)
('risk', 0.0009669887118288392)
('weight', 0.0009470801207029511)
('local', 0.0009442360362563957)
('long', 0.0009357037829167294)
('level', 0.0009357037829167294)
('studies', 0.0009328596984701739)
('interest', 0.000927171529577063)
('learning', 0.000927171529577063)
('using', 0.0009243274451305076)
('effective', 0.0009243274451305076)
('include', 0.0009243274451305076)
('alternative', 0.0009129511073442859)
('financial', 0.0009101070228977304)
('teaching', 0.000907262938451175)
('likely', 0.0008987306851115087)
('made', 0.0008958866006649532)
('non', 0.0008930425162183978)
('another', 0.0008901984317718424)
('principal', 0.0008845102628787315)
('whether', 0.0008845102628787315)
('feel', 0.0008816661784321761)
('among', 0.0008759780095390652)
('issue', 0.0008759780095390652)
('primary', 0.0008759780095390652)
('better', 0.0008731339250925098)
('general', 0.0008702898406459543)
('available', 0.0008646016717528435)
('case', 0.000861757587306288)
('bad', 0.000861757587306288)
('classroom', 0.0008532253339666217)
('within', 0.0008532253339666217)
('credit', 0.0008475371650735108)
('activity', 0.0008475371650735108)
('old', 0.0008446930806269554)
('care', 0.0008418489961804)
('families', 0.0008333167428407337)
('states', 0.0008304726583941782)
('believe', 0.0008190963206079565)
('classes', 0.000816252236161401)
('abuse', 0.0008134081517148456)
('free', 0.0008105640672682902)
('control', 0.0008105640672682902)
('teens', 0.0008077199828217347)
('special', 0.0008048758983751793)
('others', 0.0008048758983751793)
('back', 0.0008020318139286239)
('law', 0.0007991877294820684)
('activities', 0.0007991877294820684)
('give', 0.0007991877294820684)
('three', 0.000796343645035513)
('groups', 0.0007934995605889576)
('early', 0.0007934995605889576)
('become', 0.0007821232228027358)
('process', 0.0007764350539096249)
('childhood', 0.0007679028005699586)
('course', 0.0007650587161234032)
('adults', 0.0007622146316768478)
('learn', 0.0007565264627837369)
('place', 0.0007536823783371814)
('christian', 0.000750838293890626)
('able', 0.000750838293890626)
('healthy', 0.000750838293890626)
('appropriate', 0.000750838293890626)
('elementary', 0.0007479942094440706)
('attention', 0.0007479942094440706)
('world', 0.0007366178716578488)
('since', 0.0007337737872112934)
('given', 0.0007280856183181825)
('friends', 0.0007195533649785162)
('making', 0.0007195533649785162)
('violence', 0.0007138651960854053)
('services', 0.0007138651960854053)
('form', 0.0007138651960854053)
('parental', 0.0007110211116388499)
('person', 0.0007110211116388499)
('particular', 0.0007110211116388499)
('times', 0.0007081770271922945)
('example', 0.0007081770271922945)
('tolerance', 0.000705332942745739)
('prevention', 0.000705332942745739)
('instruction', 0.0006939566049595173)
('district', 0.0006939566049595173)
('says', 0.0006939566049595173)
('come', 0.0006911125205129619)
('little', 0.0006911125205129619)
('set', 0.0006882684360664064)
('talk', 0.0006882684360664064)
('reported', 0.0006882684360664064)
('evidence', 0.000685424351619851)
('rules', 0.0006825802671732955)
('possible', 0.0006825802671732955)
('academic', 0.0006825802671732955)
('environment', 0.0006825802671732955)
('development', 0.0006797361827267401)
('eating', 0.0006797361827267401)
('society', 0.0006768920982801847)
('following', 0.0006768920982801847)
('keep', 0.0006768920982801847)
('questions', 0.0006740480138336292)
('overweight', 0.0006712039293870738)
('behaviour', 0.0006712039293870738)
('last', 0.0006712039293870738)
('although', 0.0006712039293870738)
('according', 0.0006683598449405184)
('fact', 0.0006655157604939629)
('per', 0.0006626716760474075)
('involved', 0.0006626716760474075)
('ways', 0.0006598275916008521)
('order', 0.0006598275916008521)
('common', 0.0006598275916008521)
('getting', 0.0006598275916008521)
('something', 0.0006598275916008521)
('rights', 0.0006569835071542966)
('required', 0.0006569835071542966)
('th', 0.0006541394227077412)
('around', 0.0006541394227077412)
('enough', 0.0006541394227077412)
