1001
Grammaticality;4;1;5;
Non-Redundancy;5;2;5;
Referential Clarity;5;2;5;
Focus;5;2;4;
Structure;1;1;1;
Coherence;1;4;3;
Readability;2;3;4;Sufferes from lack of structure and coherence
Information Content;2;5;4;
Spelling;4;1;4;ADHD should be written out the first time
Length;3;1;5;545
Overall Quality;2;;4;
1001
"Grammaticality";5;2;5;
"Non-Redundancy";5;2;5;
"Referential Clarity";5;3;5;
"Focus";4;5;5;
"Structure";2;5;5;
"Coherence";2;5;5;
"Readability";4;5;5;
"Information Content";4;5;5;
"Spelling";5;2;5;
"Length";3;2;2;
"Overall Quality";3;5;5;"die Nuggets waren ganz gut, aber in einer relativ beliebigen Reihenfolge"
1001
Grammaticality;4;3;4;
Non-Redundancy;4;4;4;
Referential Clarity;5;3;4;
Focus;4;4;4;
Structure;3;4;4;
Coherence;4;4;3;
Readability;3;3;4;
Information Content;4;4;4;
Spelling;5;3;4;
Length;4;3;4;
Overall Quality;4;4;3;
1001
Grammaticality;4;3;4;
Non-Redundancy;3;5;4;
Referential Clarity;3;5;3;
Focus;5;5;5;
Structure;4;5;5;
Coherence;4;5;5;
Readability;4;3;5;
Information Content;4;5;5;
Spelling;4;1;3;
Length;3;1;5;
Overall Quality;5;;4;Very nice summary.
1002
"Grammaticality";4;2;5;
"Non-Redundancy";5;2;5;
"Referential Clarity";2;5;5;
"Focus";4;2;5;
"Structure";2;5;5;
"Coherence";1;5;5;
"Readability";2;5;5;
"Information Content";3;5;5;
"Spelling";5;2;5;
"Length";2;2;2;
"Overall Quality";2;5;5;
1002
Grammaticality;2;5;5;1st sentence is trimmed (ungrammatically) The 3rd sentence starts with a (open) parentheses but never closed.
Non-Redundancy;5;4;5;
Referential Clarity;5;3;5;
Focus;4;4;3;
Structure;4;3;5;
Coherence;3;3;5;No good relationship between the sentences
Readability;4;5;3;I wonder, whether the last sentence is readable
Information Content;3;5;4;
Spelling;5;4;5;
Length;2;4;5;Only about 300 characters long and could contain much more information with more characters
Overall Quality;3;5;4;
1002
Grammaticality;2;4;4;First sentence lack information through missing end
Non-Redundancy;5;5;5;
Referential Clarity;4;5;5;
Focus;5;4;4;
Structure;2;4;4;First sentence lack information through missing end
Coherence;2;4;3;First sentence lack information through missing end
Readability;2;4;5;First sentence lack information through missing end
Information Content;3;3;4;
Spelling;3;4;4;
Length;4;4;5;
Overall Quality;3;5;4;
1002
Grammaticality;4;2;4;A paranethesis opened but not closed
Non-Redundancy;5;4;4;
Referential Clarity;4;4;4;
Focus;3;4;4;
Structure;2;4;4;
Coherence;2;4;4;There are poor relation between the sentences
Readability;4;4;4;
Information Content;4;4;4;
Spelling;5;3;5;
Length;3;4;3;
Overall Quality;3;4;4;
1003
Grammaticality;3;4;5;
Non-Redundancy;3;5;4;
Referential Clarity;4;4;5;
Focus;3;4;4;
Structure;3;4;3;
Coherence;2;4;4;
Readability;2;5;5;
Information Content;2;5;4;
Spelling;2;4;4;
Length;4;3;3;
Overall Quality;2;5;5;
1003
Grammaticality;4;5;4;space before "," (1); sends (2) in caps ;
Non-Redundancy;5;4;4;;
Referential Clarity;5;5;4;;
Focus;3;3;3;sentence 1+4 about bulliening and 2+3 about skipping school, sentence 4 should be after of before 1;
Structure;3;4;3;strange start of sentence (1);
Coherence;4;3;4;;
Readability;4;4;4;physical : (1);
Information Content;4;4;5;;
Spelling;5;4;3;;
Length;4;4;3;;
Overall Quality;4;4;5;;
1003
"Grammaticality";3;3;5;
"Non-Redundancy";5;3;5;
"Referential Clarity";3;3;5;
"Focus";3;3;5;
"Structure";1;3;5;
"Coherence";2;3;5;
"Readability";2;3;5;
"Information Content";4;3;5;
"Spelling";5;3;5;
"Length";3;3;2;
"Overall Quality";3;5;5;
1003
Grammaticality;3;4;4;First sentence seems to be two sentences or punctuation is missing
Non-Redundancy;4;5;5;
Referential Clarity;4;5;5;
Focus;3;4;4;Bullying in school from officials, without further explanation to topic
Structure;3;4;4;First sentence seems to be two sentences or punctuation is missing
Coherence;3;4;3;First sentence seems to be two sentences or punctuation is missing
Readability;4;4;5;First sentence seems to be two sentences or punctuation is missing
Information Content;3;3;4;First two sentences counter each other
Spelling;3;4;4;
Length;5;4;5;
Overall Quality;3;5;4;
1004
Grammaticality;5;3;5;
Non-Redundancy;2;5;5;one sentence repeats a prevoius one
Referential Clarity;3;2;3;
Focus;4;1;2;
Structure;4;1;2;
Coherence;3;3;4;
Readability;4;2;3;
Information Content;4;4;4;
Spelling;5;2;5;
Length;5;1;5;
Overall Quality;3;2;3;
1004
Grammaticality;5;5;4;;
Non-Redundancy;4;4;4;sentence 5 combines sentence 1 + 3;
Referential Clarity;5;5;4;;
Focus;5;5;3;;
Structure;4;4;3;;
Coherence;5;3;4;;
Readability;5;4;4;;
Information Content;5;5;5;;
Spelling;5;5;4;;
Length;4;3;3;last sentence does not provide new information;
Overall Quality;5;5;5;;
1004
Grammaticality;5;2;5;
Non-Redundancy;2;3;4;
Referential Clarity;4;3;4;
Focus;4;4;4;
Structure;3;3;4;
Coherence;2;3;4;
Readability;3;2;4;
Information Content;3;5;3;
Spelling;5;2;5;
Length;4;2;4;
Overall Quality;3;5;4;
1004
Grammaticality;5;2;4;Copy from original text
Non-Redundancy;2;4;4;Definition of depression repeated three times with similar meanings
Referential Clarity;5;4;4;
Focus;4;4;4;
Structure;4;4;4;
Coherence;3;4;4;
Readability;4;4;4;
Information Content;3;4;4;
Spelling;5;4;4;
Length;4;4;4;
Overall Quality;3;4;4;
1005
Grammaticality;1;4;5;
Non-Redundancy;5;2;5;
Referential Clarity;5;2;5;
Focus;5;2;4;
Structure;1;1;1;
Coherence;1;4;3;
Readability;3;3;4;
Information Content;1;5;4;
Spelling;1;4;4;
Length;1;1;5;476
Overall Quality;1;;4;
1005
Grammaticality;5;4;3;;
Non-Redundancy;4;4;3;;
Referential Clarity;5;4;3;;
Focus;4;4;2;;
Structure;4;3;3;;
Coherence;4;3;3;;
Readability;3;4;4;lots of brackets;
Information Content;2;3;5;;
Spelling;5;4;2;;
Length;3;3;2;since i dont know what this is about and only 474 chars are beeing used there would be space for another short sentence;
Overall Quality;3;3;5;because the summary consist of only 2 sentences lots of the point above score very high even tho the information gain is too low, which is the main goal of a summary;
1005
Grammaticality;4;3;4;
Non-Redundancy;4;3;4;
Referential Clarity;4;3;4;
Focus;4;4;5;
Structure;4;4;5;
Coherence;4;4;5;
Readability;4;5;5;
Information Content;5;5;5;
Spelling;4;1;4;
Length;1;1;5;
Overall Quality;5;;5;
1005
Grammaticality;4;3;4;A paranethesis opened but not closed
Non-Redundancy;4;4;4;
Referential Clarity;4;4;4;
Focus;4;4;4;
Structure;2;4;4;
Coherence;2;4;4;
Readability;3;4;4;
Information Content;4;4;4;
Spelling;5;4;4;Copy from original text
Length;4;4;4;
Overall Quality;3;4;4;Lack of coherence
1006
Grammaticality;5;1;5;
Non-Redundancy;5;2;5;
Referential Clarity;2;2;5;
Focus;1;2;4;just looking at topics consequences
Structure;1;1;1;
Coherence;1;4;3;
Readability;2;3;4;
Information Content;1;5;4;
Spelling;5;1;4;
Length;5;1;5;578
Overall Quality;1;;4;
1006
Grammaticality;4;4;4;
Non-Redundancy;3;4;4;
Referential Clarity;4;4;4;
Focus;4;3;4;
Structure;4;3;4;
Coherence;4;4;4;
Readability;4;4;4;
Information Content;3;4;4;
Spelling;5;3;4;
Length;5;4;4;
Overall Quality;4;4;4;
1006
Grammaticality;3;4;4;Part of headline in summary;
Non-Redundancy;4;2;3;;
Referential Clarity;3;3;4;One unresolved refenrence;
Focus;3;3;3;;
Structure;2;3;3;;
Coherence;2;4;4;;
Readability;3;3;3;really long sentences;
Information Content;2;3;4;;
Spelling;4;3;3;;
Length;2;3;4;;
Overall Quality;2;4;2;;
1006
Grammaticality;4;3;4;
Non-Redundancy;4;3;5;
Referential Clarity;3;3;5;
Focus;2;4;5;
Structure;3;4;4;
Coherence;3;4;4;
Readability;3;5;5;
Information Content;4;5;4;
Spelling;4;1;3;
Length;4;1;5;
Overall Quality;4;;4;
1007
Grammaticality;5;3;4;
Non-Redundancy;4;5;4;
Referential Clarity;4;3;5;
Focus;5;5;3;
Structure;4;2;3;
Coherence;4;3;2;
Readability;5;4;5;
Information Content;5;5;4;
Spelling;5;3;4;
Length;5;2;3;
Overall Quality;5;;4;
1007
Grammaticality;5;2;5;
Non-Redundancy;5;3;5;
Referential Clarity;5;3;5;
Focus;5;4;5;
Structure;4;3;4;
Coherence;4;3;3;
Readability;5;3;4;
Information Content;5;5;4;
Spelling;5;2;5;
Length;3;2;3;
Overall Quality;5;5;4;
1007
Grammaticality;3;2;3;;
Non-Redundancy;4;3;4;;
Referential Clarity;4;3;2;;
Focus;4;4;3;;
Structure;5;4;3;;
Coherence;4;4;3;;
Readability;4;4;4;;
Information Content;5;4;4;;
Spelling;4;1;4;;
Length;3;1;1;;
Overall Quality;4;5;3;;
1007
Grammaticality;3;2;3;Missing punctuation
Non-Redundancy;4;3;4;
Referential Clarity;4;3;2;
Focus;4;4;3;last sentence is a little bit disconnected
Structure;4;4;3;
Coherence;4;4;3;
Readability;4;4;4;very good flow due to good coherence and structure
Information Content;5;5;4; 
Spelling;4;1;4;
Length;3;1;1;
Overall Quality;5;5;3;
1008
Grammaticality;5;3;5;
Non-Redundancy;3;2;4;"""teach your"""
Referential Clarity;4;2;4;
Focus;3;2;3;
Structure;2;5;5;one single bullet point
Coherence;2;4;3;
Readability;4;3;3;
Information Content;3;3;4;contained a reference
Spelling;5;2;5;
Length;2;5;5;second sentence way too long
Overall Quality;2;3;4;
1008
Grammaticality;5;3;5;
Non-Redundancy;4;4;4;
Referential Clarity;4;1;5;
Focus;2;4;5;
Structure;2;4;5;
Coherence;1;5;5;
Readability;2;5;5;
Information Content;4;4;3;
Spelling;5;3;4;
Length;4;3;3;
Overall Quality;3;5;4;
1008
Grammaticality;3;3;3;
Non-Redundancy;4;3;3;
Referential Clarity;5;1;4;
Focus;4;4;3;
Structure;3;3;4;
Coherence;3;3;3;
Readability;3;3;3;
Information Content;4;3;3;
Spelling;5;1;4;
Length;4;2;2;
Overall Quality;3;;3;
1008
Grammaticality;4;3;3;
Non-Redundancy;3;3;5;
Referential Clarity;2;3;5;
Focus;3;4;5;
Structure;3;4;4;
Coherence;3;4;4;
Readability;4;5;4;
Information Content;4;5;3;
Spelling;3;1;3;
Length;3;1;5;
Overall Quality;4;;3;
1010
Grammaticality;5;4;3;
Non-Redundancy;5;2;2;
Referential Clarity;4;3;4;
Focus;4;5;3;
Structure;3;5;3;
Coherence;2;5;4;
Readability;3;4;3;
Information Content;2;4;4;
Spelling;4;3;3;
Length;4;1;4;
Overall Quality;3;5;3;
1010
Grammaticality;3;5;5;
Non-Redundancy;4;4;4;
Referential Clarity;3;5;5;
Focus;4;4;4;
Structure;3;4;4;
Coherence;4;5;4;
Readability;4;3;4;
Information Content;4;2;3;
Spelling;3;5;3;
Length;4;3;3;
Overall Quality;3;4;3;
1010
Grammaticality;4;3;3;
Non-Redundancy;3;3;5;
Referential Clarity;4;3;5;
Focus;3;4;3;
Structure;3;4;4;
Coherence;3;4;4;
Readability;3;5;4;
Information Content;4;5;4;
Spelling;3;1;3;
Length;4;1;5;
Overall Quality;4;;3;
1010
Grammaticality;4;2;4;
Non-Redundancy;4;4;4;
Referential Clarity;4;4;5;
Focus;4;3;4;
Structure;4;3;3;
Coherence;4;3;4;
Readability;4;4;4;
Information Content;3;5;4;
Spelling;5;2;4;
Length;4;5;5;
Overall Quality;4;5;4;
1011
Grammaticality;5;4;4;
Non-Redundancy;5;2;4;
Referential Clarity;4;3;3;
Focus;3;5;4;
Structure;4;5;4;
Coherence;3;5;3;
Readability;3;4;4;
Information Content;3;4;2;
Spelling;5;3;5;
Length;4;1;4;
Overall Quality;4;5;3;
1011
"Grammaticality";5;2;5;
"Non-Redundancy";5;3;5;
"Referential Clarity";4;5;5;"1. Satz: Welche “motivation”?"
"Focus";5;5;5;
"Structure";2;5;5;
"Coherence";3;5;5;
"Readability";3;5;5;
"Information Content";4;5;5;
"Spelling";5;1;5;
"Length";3;2;2;
"Overall Quality";3;5;5;"die Struktur der Summary ist einfach nicht gut"
1011
Grammaticality;5;3;4;
Non-Redundancy;4;5;4;
Referential Clarity;4;3;5;
Focus;4;5;3;
Structure;4;2;3;
Coherence;4;3;2;
Readability;5;4;5;
Information Content;4;5;4;
Spelling;4;3;4;
Length;4;2;3;
Overall Quality;4;;4;
1011
Grammaticality;4;4;4;
Non-Redundancy;4;4;4;
Referential Clarity;3;4;4;
Focus;4;4;4;
Structure;4;4;4;
Coherence;4;4;4;
Readability;4;3;4;
Information Content;4;4;4;
Spelling;4;3;4;
Length;4;3;4;
Overall Quality;4;4;4;
1012
Grammaticality;5;4;4;
Non-Redundancy;5;2;4;
Referential Clarity;5;3;4;
Focus;5;5;4;
Structure;4;5;5;
Coherence;5;5;4;
Readability;5;4;4;
Information Content;4;4;3;
Spelling;5;3;4;
Length;5;1;4;
Overall Quality;5;5;4;
1012
Grammaticality;5;3;4;
Non-Redundancy;4;5;4;
Referential Clarity;3;3;5;
Focus;4;5;3;
Structure;4;2;3;
Coherence;4;3;2;
Readability;5;4;5;
Information Content;3;5;4;
Spelling;4;3;4;
Length;4;2;3;
Overall Quality;4;;4;
1012
Grammaticality;4;2;3;;
Non-Redundancy;4;2;3;;
Referential Clarity;4;2;3;;
Focus;3;4;4;;
Structure;3;3;3;;
Coherence;2;3;3;;
Readability;3;2;4;;
Information Content;2;4;3;;
Spelling;4;2;4;;
Length;3;3;3;;
Overall Quality;3;4;4;;
1013
Grammaticality;5;1;5;
Non-Redundancy;5;2;5;
Referential Clarity;5;2;5;
Focus;4;2;4;
Structure;4;1;1;
Coherence;3;4;3;
Readability;3;3;4;
Information Content;3;5;4;
Spelling;5;1;4;
Length;4;1;5;568
Overall Quality;3;;4;
1013
Grammaticality;4;4;5;
Non-Redundancy;4;2;5;
Referential Clarity;5;3;4;
Focus;3;4;5;
Structure;1;4;4;
Coherence;3;4;5;
Readability;2;4;3;
Information Content;2;4;5;
Spelling;5;3;3;
Length;3;4;4;
Overall Quality;2;5;4;
1013
Grammaticality;5;2;3;
Non-Redundancy;5;2;3;
Referential Clarity;5;2;3;
Focus;4;4;3;
Structure;3;3;2;
Coherence;3;3;2;
Readability;4;3;3;
Information Content;4;3;3;
Spelling;5;1;4;
Length;4;2;2;
Overall Quality;4;;3;
1013
Grammaticality;5;4;4;
Non-Redundancy;5;5;5;
